BAD_LOAN,AMOUNT_REQUESTED,EXIST_MORTG_DEBT,EXIST_PROPERTY_VALUE,EMPLOYED_YEARS,DEROG_REPORTS,DELINQ_CR_LINES,CR_LINES_AGE(MTS),NO_OF_CR_LINES,DEBT_TO_INCOME
0,11400,75705,90727,5,0,0,143.1010326,27,42.16992673
0,11400,66491,89553,4,0,0,212.7832827,16,31.12013265
0,11400,59813,72873,13,0,0,234.3302405,31,39.35147085
0,11400,125486,195284,0,0,0,354.2902872,15,38.14306879
0,11400,43530,56600,21,0,0,114.982979,23,39.4816629
0,11400,56789,74016,7,0,0,127.6254746,16,33.02714356
0,11400,51203,60716,2,0,0,99.10408262,20,38.23531293
0,11400,74074.7,27439,27,0,0,208.1771125,5,23.83011058
0,11400,84380,202186,13,0,0,34.91437168,7,18.84034872
0,11400,112930,144830,2,0,0,271.2380373,46,33.25107931
0,11400,84278,200480,14,0,0,4.412770061,8,19.11248507
0,11400,64934,74875,3,0,0,192.3144827,16,34.34375572
0,11400,50166,61395,1,0,0,188.8866824,12,26.95045128
0,11400,52068,80643,2,0,2,199.0877211,13,29.46213408
0,11500,56720,82738,17,0,0,200.4169543,16,34.01983769
0,11500,104790,122169,16,1,0,266.1210566,16,34.08217846
0,11500,53651,87547,18,0,0,191.3968875,16,34.36865089
0,11500,116430,215014,3,0,0,132.0936343,14,26.86456847
0,11500,43945,63337,2,0,1,193.7424854,21,27.62349396
0,11500,70409,89099,9,0,0,169.401652,11,40.17443006
0,11500,61264,75647,11,0,0,262.8901879,36,39.5478827
0,11500,44097,58336,0,0,0,173.3183208,20,38.19162603
0,11500,77143,86862,8,0,1,164.5964029,12,39.44969272
1,11500,21096,38952,13,0,0,129.7,5,28.85321791
1,11500,67000,83000,4,0.2,0.5,179.2,21.3,39.09727676
1,11500,62000,83000,0,5,1,177.5666667,34,39.78478232
0,11500,64371,73636,2,0,0,162.1162539,35,39.79119896
0,11500,63136,81099,3,0.2,0.5,149.0647448,35,28.97594012
0,11500,104610,118861,18,0,1,203.7002024,16,37.59695145
0,11500,74074.7,64037,11.2,0,0,354.1745808,7,34.35573924
0,11500,59781,69864,4,0,1,312.547396,9,31.18180135
0,11500,22758,36922,7,0,1,103.0481171,16,19.0201683
0,11600,82326,94599,0,4,0,179.2,3,29.89362148
0,11600,64143,78851,6,0,3,201.369922,29,35.79580494
0,11600,92613,108515,11,0,0,206.8225881,16,39.11103947
1,11600,44623,102269,13,6,2,178.0932217,29,21.33465191
1,11600,57939,69774,5,0,0,91.99164592,12,72.26409333
0,11600,50433,107092,5,0,1,225.1816913,9,24.95259473
0,11600,89205,128462,10,0,0,128.1235975,21,37.52332471
0,11600,22635,33353,6,0,0,85.57207035,16,19.22387267
0,11600,35865,50000,11.2,0,0,78.13333333,15,27.81278099
1,11600,57200,72500,5,0,0,34.46666667,15,32.96107174
1,11600,45917,60000,10,0,1,304.3666667,27,36.59800129
0,11600,96882,118914,13,0,0,176.2219109,17,34.7577402
0,11600,28654,47042,10,0.2,0,158.0847883,29,38.47750484
0,11600,36357,56514,31,0,0,237.8189664,19,20.1815824
0,11600,33379,51821,31,0,0,247.1205918,19,23.66108403
0,11600,57436,72460,11,0,0,255.1260302,27,28.94553179
0,11600,129432,198705,0,0,0,341.0473292,16,39.96325851
0,11600,73079,101219,7,0,0,152.249875,33,34.24962074
0,11600,74074.7,36474,11.2,0.2,1,93.72713803,10,37.20295356
0,11700,78789,91342,5,0,0,128.3606743,27,41.9526818
0,11700,47072,85090,18,0,0,192.2531823,16,35.06486468
1,11700,54085,68239,2,1,2,8.055265077,15,32.01265858
0,11700,59932,80313,14,0,0,238.4864616,32,44.4749177
0,11700,40266,59097,11.2,0,0,74.9980986,15,39.49702872
0,11700,74074.7,69125,11.2,0.2,0.5,179.2,21.3,23.76683213
0,11700,84863,91737,0,4,0,179.2,4,30.33081149
0,11700,63724,82252,13,0,0,233.2488794,37,40.07527584
0,11700,59506,85000,3,0,0,37.56666667,4,33.91501258
1,11700,69100,85000,3.8,3,0,80.1,22,32.26963779
1,11700,62400,78000,20,0,0,216.0666667,24,31.76284443
1,11700,63914,93707,7,3,0,162.579837,51,69.48065039
0,11700,37093,62116,11.2,0.2,0.5,179.2,21.3,37.01094877
0,11700,74783,86227,7,0,0,116.7568005,23,28.01922708
0,11700,64278,76055,12,0,0,245.2951629,26,28.43996584
0,11700,15163,74500,19,0,2,378.8258185,11,20.09078333
0,11700,56441,86987,17,0,0,198.0327176,16,33.93116342
0,11700,78157,103016,1,0,0,69.80569767,24,38.44838712
0,11700,55119,67931,4,0,0,199.4106992,16,27.61633851
0,11700,101520,110617,18,0,2,198.5433481,16,38.72125945
1,11800,74512,93328,4,5,0,117.91882,16,58.29598994
0,11800,52104,61618,0,0,0,160.7499314,21,37.12951204
0,11800,79131,102263,5,0,0,105.2538926,34,36.07097887
1,11800,67678,108092,13,0,7,126.6582316,36,37.16268969
0,11800,74074.7,65769,11.2,0,0,357.3326822,7,34.32727654
0,11800,21813,30436,5,0,1,104.0116359,16,19.40846123
0,11800,44944,57132,11.2,0,0,74.15604508,14,42.81224294
0,11800,57760,65535,11,0,0,108.4694005,18,32.78348357
0,11800,65062,78004,12,0,0,251.1441957,31,43.37237282
0,11800,86785,125552,11,0,0,148.1764924,22,37.88444933
0,11800,116742,137385,15,0.2,1,170.5400351,33,30.78500359
0,11800,38825,51984,11.2,0,0,82.52779435,14,40.88273326
0,11800,32257,59515,23,0,0,231.5999445,29,25.70127642
0,11800,74074.7,51246,11,0,0,305.5667157,13,32.50005907
0,11800,65012,91614,26,0,0,171.8895469,13,42.48851705
0,11800,53596,69786,5,0.2,0.5,126.7877807,24,41.04775488
0,11800,98877,110250,18,0,2,195.8629168,16,36.87169942
0,11800,112146,140781,14,0.2,0,170.7005075,32,29.9424924
0,11900,44600,63800,9,0,0,243.5,18,29.43511509
1,11900,54867,79000,1,0,0,182.6,23,30.61497182
0,11900,44142,54299,22,0,0,123.4711472,22,37.1549023
0,11900,85486,109386,11,0,1,175.5425655,28,33.67090818
1,11900,108763,128780,8,0,0,60.3779329,21,49.41811438
0,11900,85179,122788,10,0.2,0.5,179.2,21.3,39.43073063
0,11900,41009,68211,23,0,0,234.9296174,28,28.3910393
0,11900,28329,80963,21,0,0,239.4571177,10,24.53499719
0,11900,117550,144178,15,0.2,1,170.9458328,32,29.09998121
1,11900,58104,77870,7,0,0,69.43333333,19,37.58384183
1,11900,52814,72000,12,0,0,123.6,20,38.84038825
0,11900,34222,59948,24,0,0,228.0753508,29,25.72883738
0,11900,26601,52544,0,0,0,240.6943608,11,40.77567715
0,11900,81849,105403,5,0,1,82.63950538,34,36.50598321
1,11900,29822,48574,13,0,0,132.4016914,4,36.61115697
0,11900,201264,227295,10,0,0,239.7433663,22,33.77633696
0,11900,97506,110902,17,0,1,196.568128,15,37.99899138
0,11900,89595,107895,9,0,0,250.4682419,24,30.30538811
1,11900,63833,102269,3,0.2,0.5,179.2,21.3,40.93276678
0,11900,78959,104371,1,0,0,79.08139722,23,40.02421108
0,11900,83877,208924,15,0,0,12.75204694,7,18.24972192
0,11900,114329,143915,15,0.2,1,185.5726683,32,28.97773866
0,11900,81318,105454,6,0,0,92.13682104,33,37.52575103
0,11900,61094,74842,12,0,0,250.1998344,26,29.73487407
0,12000,84172,123415,9,0,0,139.0184494,21,38.58266988
0,12000,83560,126479,8,0.2,0.5,179.2,21.3,38.92831569
0,12000,63019,74204,6,0,0,98.59173833,14,24.49043836
0,12000,41182,59947,23,0,0,118.1799392,22,37.13106416
0,12000,57371,69076,10,1,0,83.25197204,19,29.63210826
0,12000,76799,83864,8,0,0,102.2042743,22,27.17193008
0,12000,35028,55079,23,0,1,108.6339686,23,40.79745755
0,12000,30777,43157,8,0.2,0,151.699431,28,38.17774295
0,12000,38130,68707,23,0,0,234.8879805,29,26.3012369
0,12000,15756,53079,23,0,0,259.5550444,20,29.39747822
1,12000,50581,70171,11.2,0,2,206.3192338,12,29.84313667
0,12000,69796,93757,16,0,1,91.43267591,8,24.45938368
1,12000,76345,89036,8,0,0,91.97034976,19,50.17306503
0,12000,72786,84595,4,2,2,198.7693251,30,38.09020903
1,12000,42000,60000,4,1,2,145.5333333,23,38.77739888
1,12000,69000,92900,2,0,0,115.9,15,36.25760699
1,12000,74427,96270,18,0,1,169.7333333,40,37.11589113
0,12000,96000,135000,14,0,0,126.8,22,33.96427347
0,12000,46000,60200,4,0,0,176.5,14,36.59800129
0,12000,87000,101200,13,0.2,2,151.1333333,18,31.71095784
0,12000,98000,123385,10,0,0,170.4333333,32,38.03883529
0,12000,76187,93100,0.5,0,0,144.0666667,23,44.79286532
0,12000,29600,61250,7.5,0,0,264.8,16,22.07743696
0,12000,74074.7,63000,0,0,0,179.2,0,27.95142468
0,12000,94000,112125,2,0,0,143.0333333,22,35.30311441
0,12000,72000,106000,6,0,0,78.06666667,14,32.61313414
0,12000,42482,67800,19,0,0,199.9,16,34.80582415
0,12000,53800,80000,0.3,0,0,124.7666667,11,30.1755124
0,12000,44000,59500,3.7,0,0,172.5,14,38.23997102
0,12000,81000,105250,9,0,0,200.9,37,36.35855107
0,12000,81000,99000,20,0,0,136,24,37.05598966
0,12000,64000,80000,2,0,0,239.5333333,26,30.15346975
1,12000,74074.7,87000,13,0.2,0.5,179.2,21.3,30.95535929
0,12000,87000,113850,11,0,0,216.1333333,12,37.01118679
1,12000,74074.7,102269,19,0,8,195.8333333,13,31.38241002
1,12000,75373,102602,6,2,0,99.36666667,21,32.43191955
1,12000,36000,51900,0.1,0,0,247.5,10,27.00023745
1,12000,28298,72000,8,0.2,0.5,105.5,22,33.77290307
1,12000,118000,139350,2,0,0,153.1666667,17,34.96144868
1,12000,87917,102269,12.9,0,1,71,12,32.54173087
1,12000,48786,89800,29.9,0,5,220.1333333,16,35.63184788
1,12000,74265,91000,7,1,0,137,3,37.02981388
1,12000,42000,58000,5,0,1,113.6333333,18,36.65699638
0,12000,76674,97936,5,0,0,147.9142027,27,41.22576316
1,12000,54257,82764,14,1,1,188.3374218,31,38.94275964
0,12000,36072,62960,8,0,0,288.5298732,16,22.42300246
0,12000,97650,115931,11,0,0,199.828042,17,34.38794397
0,12000,74074.7,67446,11.2,0,0,356.9333304,7,37.93444341
0,12000,88210,114224,8,0,0,203.468979,36,41.57297152
1,12000,74074.7,33879,11.2,1,0,121.3795359,4,39.69469137
1,12000,48189,53969,5,0,0,276.3817427,18,65.49524315
0,12000,98428,114820,16,0,1,188.1482082,15,36.73772129
0,12100,56335,86648,17,0,0,206.2470947,17,35.12787435
0,12100,48622,83158,4,0,2,191.5692916,12,29.20449956
0,12100,58556,76724,3,0,1,234.6585447,16,37.63925293
1,12100,186062,227171,0,0,0,67.78084803,4,26.990533
0,12100,13218,82386,7,0,0,262.3942543,14,18.43047238
0,12100,44484,64398,3,0,0,263.0447041,20,28.80398255
1,12100,29097,72647,8,0.2,0.5,109.5148795,22,45.30476057
0,12100,90917,102400,11,0.2,2,159.874518,17,33.4537285
0,12100,50100,66410,3,0,0,176.0098643,14,28.54860369
0,12100,68941,75029,14,0,0,254.1896555,31,43.89784955
0,12100,50150,65565,4,0,0,166.2317086,13,26.64432479
1,12100,22000,38750,0.8,0,0,167.4,17,25.29347778
0,12100,12000,33938,9,0,0,118.7666667,11,30.51145322
1,12100,67000,79100,5,0,0,155.2,32,34.68545372
0,12100,67927,94126,2,0,0,35.53887812,3,38.84759708
0,12100,74594,90555,4,0,0,123.7766246,27,41.63484731
0,12100,83557,98881,6,0,0,102.2257045,26,25.78278709
0,12100,61868,66874,30,0,3,170.4386392,23,37.915021
0,12100,105104,144712,13,0,0,129.5188081,22,37.41377466
0,12100,71060,79744,3,0.2,0.5,179.8663489,35,29.89415099
0,12100,18728,34443,9,0,0,117.6482829,10,21.58983638
0,12100,55147,72553,0,0,0,229.4061754,10,35.86772963
0,12100,48149,74539,17,0,0,200.0325616,15,23.13097189
0,12200,61929,83102,14,0,0,238.5249274,32,44.44967097
0,12200,110088,137794,3,0,0,251.1518919,46,33.51711722
0,12200,57785,72971,2,0,0,166.8994602,16,34.70964393
0,12200,67474,88473,2,0,0,234.7759967,26,29.09729879
0,12200,136866,162906,4,0,0,427.9235915,43,30.1821229
0,12200,80336,102618,2,0,0,79.73026062,19,34.40548234
1,12200,97000,109800,5,0,0,152.1333333,33,37.46932766
0,12200,91000,114053,11,0,0,173.5,27,33.91139464
0,12200,206613,232176,10,0,1,237.3157697,22,30.68943921
0,12200,70722,81760,0,0,0,219.7852728,26,30.27700538
0,12200,82904,125057,8,0,0,131.6590526,21,37.27313999
0,12200,61302,90873,2,0,0,35.97354161,4,39.97361316
0,12200,57112,76050,1,0,0,235.2292688,9,35.11318533
0,12200,90154,110479,9,0,0,196.9264059,37,43.1890315
0,12300,79838,85209,8,0,0,173.8386239,11,37.8244708
0,12300,114035,137208,15,0.2,1,173.7143227,33,32.05607229
1,12300,24552,48278,0,0,0,171.0751046,16,29.29955094
0,12300,61253,85825,5,0,0,130.026259,34,27.20337824
0,12300,152107,179793,7,0.2,1,212.7829956,25,43.13409505
0,12300,48866,73023,11,3,1,251.629062,29,32.87687074
1,12300,48238,66603,6,0,1,80.38898294,11,40.01910455
0,12300,112373,136202,16,0.2,1,179.8829733,32,30.48826811
0,12300,69499,104045,8,0,0,219.0904891,20,18.58475695
0,12300,60200,77079,13,0,0,242.2441382,32,45.39416855
0,12300,74074.7,50530,5,0.2,0.5,163.54096,9,20.02628441
1,12300,78000,101200,0.4,0,0,145.0666667,19,34.14707768
1,12300,50230,70000,1,0,0.5,184.3666667,20,32.35349836
1,12300,77000,94000,41,0.2,4,212.8666667,17,36.98011952
0,12300,114457,144284,1,0,0,252.6592531,45,32.4971451
0,12300,52622,64407,0,0,0,191.0774254,13,26.20306729
0,12300,152274,177940,4,0,0,196.8767577,56,33.72276915
0,12300,27859,48393,10,0,0,82.76016033,3,34.38536707
0,12300,90006,121122,9,0,0,133.4975408,21,36.91048167
0,12300,159798,177853,6,0.2,0,206.8170726,25,41.42504139
0,12300,81590,90050,6,0,0,136.7467587,26,41.73267582
0,12300,35651,59795,22,0,0,118.6530642,23,40.66298165
0,12300,50441,56656,1,0,0,186.4510167,21,35.45260742
0,12300,33061,46277,8,0.2,1,154.8992783,28,39.70178286
0,12300,141020,157511,4,0,1,403.7489298,43,29.58318425
0,12300,92573,119325,2,1,2,157.6206429,33,34.77510251
1,12300,73099,84250,4,0.2,0.5,179.2,21.3,40.22228314
1,12300,64265,90956,10,0,1,233.1561248,32,32.90882386
0,12400,132894,198168,0,0,1,355.1639113,16,40.54029537
0,12400,137927,160566,6,0,1,436.7517799,42,29.27255681
1,12400,45604,65501,9,0,1,70.33753056,24,35.21218126
0,12400,26768,52411,0,0,0,253.3180433,11,38.82102132
0,12400,203902,234454,9,0,0,213.4554475,22,33.64852105
0,12400,16375,36672,8,0,0,120.674928,11,24.08943715
0,12400,49264,57923,0,0,0,182.0010415,13,27.00877688
0,12400,36034,62953,9,0,0,262.0793453,16,21.34522735
0,12400,74074.7,69350,0,0,0,179.2,0,2.365195413
1,12400,94000,112000,4,0,0,179.2,0,35.30311441
0,12400,115902,146813,1,0,0,288.4676266,45,33.05428433
0,12400,115004,144760,2,0,0,279.5221733,46,35.61473143
1,12400,50573,84008,15,1,0,76.04208693,7,41.02796675
0,12400,74074.7,65317,11.2,0,0,349.2796108,6,35.71441843
0,12400,25805,31414,2,0.2,0.5,179.2,21.3,38.2372256
0,12400,24769,87665,21,0,0,238.3827694,11,25.33220131
0,12400,83018,96637,2,0,0,95.90213133,32,41.24477919
0,12500,93538,118369,0,0,1,132.8237118,33,34.83386481
0,12500,37562,57081,22,0,1,129.486844,23,39.08300244
1,12500,69117,101503,13,0,7,145.9530178,36,36.75998466
0,12500,157312,181050,7,0.2,0,209.7067368,25,40.90561976
0,12500,10035,61897,6,1,1,368.7377963,21,14.73359483
0,12500,83276,129116,7,0,0,138.687955,22,39.58996183
0,12500,57294,66615,3,0,1,321.3875868,9,31.38089909
0,12500,101047,118913,2,0,0,156.6054917,22,35.89928784
0,12500,83924,100114,0,0,0,71.30419761,20,34.71276881
0,12500,79900,94660,19,0,0,252.3496982,24,35.80049203
0,12500,74074.7,52026,6,0.2,0.5,173.7172393,8,21.6211951
1,12500,41000,64680,2,0,0,70.9,30,34.61393782
1,12500,55000,75393,0.75,0,1,113.0333333,16,32.79048834
1,12500,53060,67500,16,0,5,183.6333333,15,33.00532354
1,12500,69192,105300,4,0,0,282.0333333,23,27.6487839
1,12500,62000,102600,10,2,6,226.4333333,42,36.83126504
0,12500,77792,100812,10,2,0,182.9569956,29,27.38587324
0,12500,53354,79893,10,2,0,249.4359543,29,35.02088579
0,12500,81865,101048,1,0,0,147.4022274,23,38.85516272
0,12500,55228,66569,3,0,0,198.8151672,17,27.99687276
0,12500,77937,89710,19,0,0,223.5874152,24,35.95199865
0,12500,26286,36002,2,0.2,0.5,179.2,21.3,38.43868186
0,12500,74074.7,39200,0,0,0,309.4,9,32.19787997
0,12500,56791,72974,29,0,3,182.0664052,24,35.69162282
0,12600,71370,90316,26,0,0,162.3574415,14,39.8754838
0,12600,84933,110253,8,0,0,192.4226063,37,40.84507779
1,12600,41169.82,57000,5.5,1,0,98.43333333,18,37.06751459
0,12600,45633,77578,19,0,0,209.7255196,15,23.91561488
0,12600,103946,113900,17,0,2,194.3599393,16,36.41457282
0,12600,125688,198602,0,0,1,344.7479335,16,39.48382007
1,12600,86785,110400,0.7,1,0.5,89.06666667,27,34.1927226
1,12600,72854,86209,2,0,0,118.0696474,14,36.05148718
0,12600,67860,103426,9,0,0,202.1526339,20,18.34752939
0,12600,103960,127384,2,0,0,129.0154994,25,34.47945476
0,12600,32742,41299,10,0.2,1,170.4071064,29,37.80266959
0,12600,25000,37882,8.8,0,0,87.2,12,31.54230697
1,12600,48983,65000,5,1,0,58.7,23,27.64326086
0,12600,62493,77141,13,0,0,266.3331014,26,27.0078722
0,12600,55415,74307,29,1,2,198.8467209,23,36.83774105
0,12600,58247,72189,30,0,3,198.243176,23,35.79425984
0,12600,100590,138649,14,0,0,138.1647046,22,34.5987274
0,12600,85335,97094,2,0,0,116.086609,32,40.84524619
0,12600,83552,107186,21,0,0,128.6602454,24,28.72301763
0,12600,37699,59874,22,0,0,114.2359516,23,38.68267604
0,12600,76002,94236,11,0,0,164.7623042,21,39.52570494
0,12600,49986,67896,3,0,0,190.1599072,17,29.26631718
0,12700,204038,230920,10,0,0,242.9128934,22,29.80162732
0,12700,79448,91004,20,0,0,227.5073902,23,34.46430215
0,12700,29471,48362,9,0,0,79.90287141,4,36.0206079
0,12700,72760,83604,6,2,3,189.9194249,29,37.36856046
0,12700,74074.7,41396,0,0,0,302.8700505,8,27.98946659
0,12700,79383,107590,5,0,0,78.29927353,14,33.5811165
1,12700,30428,47387,2,0,0,164.4900213,36,38.8741586
0,12700,58293,82594,13,0,0,105.050415,23,36.70044554
0,12700,30061,58714,29,0,0,230.8801537,19,20.6379176
0,12700,27459,38577,16,0,0,72.32957204,9,31.60566546
0,12700,77068,98436,7,0,1,148.2880996,34,33.46369747
0,12700,130867,201245,0,0,1,340.7953444,15,40.16882702
0,12700,61840,73541,1,0,0,157.8924467,35,41.65169171
0,12700,79898,101989,9,2,0,214.9964598,29,29.30607111
0,12700,105293,121416,14,0,0,250.0188805,16,35.28716643
0,12700,60122,93741,0,0,0,38.33492385,3,42.10934773
0,12700,72164,104220,10,0,0,165.4307821,13,37.53996336
0,12700,48139,64842,0,1,0,192.4791522,13,26.54684008
0,12700,9038,65969,7,1,1,346.5801028,22,13.34721268
0,12700,53199,82567,3,0,1,185.3250354,13,27.39038041
0,12700,58606,83010,1,0,0,125.3258854,11,35.99961072
0,12700,159661,183244,7,0.2,1,210.1152209,26,43.76819178
0,12700,107653,129752,8,0,0,181.0272753,32,29.46672103
0,12700,37346,53511,23,0,0,136.9569407,22,39.43166373
0,12800,99160,114619,2,0,0,142.2125619,22,35.94987705
0,12800,66293,92423,27,0,0,169.7238883,14,41.23216256
0,12800,117391,210072,1,0,0,136.6209694,14,27.12488931
0,12800,54546,62906,3,0,0,175.5198745,16,28.64818571
0,12800,49349,70078,9,0,0,240.9080591,17,31.75405395
0,12800,73624,103213,10,0,0,201.6508442,20,19.55727283
1,12800,54151,83828,13,0,0,132.1602699,16,23.47742628
1,12800,81030,100333,11,0,1,80.14894304,29,42.31937039
0,12800,67867,78660,3,0.2,0.5,159.8014934,34,30.01090961
0,12800,48437,65311,0,1,0,260.5552362,21,29.51628985
1,12800,51800,68000,6,0.2,0.5,179.2,21.3,32.1984875
1,12800,111000,124500,7,1,0,203.9,40,33.66798111
0,12800,76783,95007,6,0,0,140.9720223,26,42.15361693
0,12800,58592,87002,13,0,0,139.5308428,24,37.53107709
0,12800,11986,48309,23,0,0,265.2270609,20,28.49386194
0,12800,46043,62531,4,0,0,183.9821005,13,26.10080257
0,12800,42801,51123,23,0,1,127.839662,22,39.38959461
1,12800,67060,83989,9,0.2,3,116.4667574,24,43.57230751
0,12800,91040,114331,12,0,0,175.8773501,26,34.74718504
0,12800,71531,87256,26,0,0,167.1637357,14,40.37613759
0,12800,75139,105289,8,0,0,151.8511659,35,31.21070474
0,12800,77318,97616,6,0,0,125.5348018,27,39.46266339
0,12800,85251,114023,1,1,2,143.6827959,33,31.91327241
0,12800,79151,110583,4,0,0,79.3713845,13,33.58669163
0,12800,29100,39264,7,0,0,93.39500247,12,31.28306102
0,12800,81694,101680,0,0,0,159.3541041,22,40.1115783
0,12800,68729,90127,23,0,0,163.9892789,14,39.42448779
0,12900,69770,87000,6,0,0,201.9333333,19,34.72316494
1,12900,94000,102269,8,0,1,205.9333333,19,33.45872418
0,12900,64245,83823,13,0,0,246.8377195,36,40.56013033
0,12900,39401,53758,22,0,0,118.6463752,23,38.68944062
0,12900,105638,112608,17,0,2,208.3068822,16,39.67790581
0,12900,59191,72716,2,0,0,175.170441,17,35.55817128
1,12900,29891,76571,2,0,0,29.05867023,11,31.45850053
0,12900,92734,114285,11,0,0,236.0527728,24,28.66341681
0,12900,90646,100744,19,0,0,141.2084606,23,31.52637971
0,12900,66126,84472,2,0.2,0.5,187.1791987,34,29.99503841
0,12900,89510,102628,20,0,0,117.8571727,24,28.53735409
1,12900,46266,62000,7,0,0,77.13333333,18,31.37139125
0,12900,83886,100782,5,0,0,115.076186,27,27.97970643
0,12900,149297,177044,4,0,0,205.8739212,56,34.97573417
1,12900,117900,143433,6,0,0,227.9328934,35,47.61976353
0,12900,55673,64582,4,0,0,163.4166317,14,26.98743734
0,12900,88304,122178,10,0,0,223.4548548,12,41.42995887
0,12900,50636,57838,0,1,0,187.8253233,13,28.81347094
0,12900,52353,62740,2,0,0,167.515516,13,37.3575814
0,12900,89492,110007,10,0,2,169.1919843,28,32.82003727
0,12900,70167,90812,25,0,0,177.0806266,13,40.22569567
0,12900,45215,66162,4,0,0,170.7645169,14,39.24801492
0,12900,56957,73181,29,1,3,179.096166,23,36.39479545
0,12900,56798,71364,1,0,0,225.5857631,9,33.02128407
0,12900,61031,71550,28,0,2,178.0872568,23,34.80242878
0,12900,18106,37881,8,0,0,134.3841089,10,20.51596186
1,13000,64499,86000,1,0,0,109.4,19,36.49502362
0,13000,27787,44901,8,0.2,1,166.7262772,28,38.35512561
0,13000,81972,102295,5,0,0,107.4206093,26,24.72083108
0,13000,74074.7,28981,28,0,0,203.902855,4,25.7409307
0,13000,61509,77065,6,0,0,172.8544902,17,35.39086131
0,13000,80587,110064,6,0,0,85.00919673,13,33.99003975
0,13000,72931,96803,6,0,0,208.6728918,18,41.05223501
0,13000,78766,106450,6,0,0,107.9513117,26,24.87099388
0,13000,39386,53149,4,0,0,110.4779566,16,38.52175901
0,13000,67395,94355,8,0,0,214.4844926,28,40.97046682
0,13000,74074.7,72175,11.2,0,0,367.9400249,6,36.56113974
0,13000,96172,112123,14,0,0,181.8918044,18,36.22557157
0,13000,88614,116994,13,0,2,188.8241991,28,32.61950164
0,13000,16913,48587,23,0,0,264.9921562,20,30.62263556
1,13000,125969,144076,4,0,0,110.1931963,30,48.9777317
1,13000,70000,90704,15,0,3,142.1666667,37,37.55106057
1,13000,34000,65000,4.5,0,1,148.5,24,23.13455141
0,13000,38200,64764,4,0,0,211.0666667,18,29.12441189
0,13000,59000,83187,11.2,0,0,292.1,20,35.14883507
0,13000,61612,99132,8,0,0,262.7333333,12,33.33154681
1,13000,41193,58000,18,3,2,66.93333333,7,36.4798649
1,13000,36223,102269,9,1,0,132.8666667,14,32.82817794
1,13000,43744,60000,22,0,1,21.26666667,15,36.10007995
1,13000,47000,60000,1,0,0,179.2,12,32.16017179
1,13000,177000,200000,3,0,2,195.8333333,50,25.60953689
1,13000,60000,86400,12,0,2,149.1666667,28,32.37951769
1,13000,111000,137813,6,2,2,138.3333333,65,31.5009875
1,13000,152029,173750,20,0,0,19.33333333,5,36.45095506
0,13000,26863,44218,10,0,0,92.99959341,11,29.11293616
0,13000,110094,145807,2,0,0,285.2759347,45,35.04547106
0,13000,74074.7,25552,28,0,0,198.0728056,5,25.50782049
0,13000,77355,114400,11.2,0.2,0.5,179.2,21.3,35.34662858
0,13000,44875,57713,0,1,0,184.9903244,12,28.60207607
0,13000,60719,73677,11,0,0,256.7103553,26,27.31010697
0,13000,80277,106799,3,0,0,67.11166592,14,37.29777299
0,13100,48153,70059,11,0,0,242.6505336,18,30.89311822
0,13100,70878,86743,10,0,0,174.8817439,11,39.78440826
0,13100,74832,98616,6,0,0,101.3622896,26,27.02148065
0,13100,59608,72561,30,1,2,195.5387113,24,36.61107299
0,13100,69259,75149,11,0,0,240.4102919,37,40.73560441
0,13100,64897,81598,7,0,0,130.6484684,34,26.50010508
1,13100,22422,34800,2.6,2,0,93.3,3,23.99798822
0,13100,82411,103833,21,0,0,135.8630384,24,29.21582663
0,13100,70368,87407,2,0,0,232.9947127,26,29.66798564
0,13100,74074.7,65933,0,0,0,179.2,0,3.657370718
0,13100,50552,59889,4,0,0,178.6123626,13,38.76331381
0,13100,73987,106557,9,0,0,149.4525291,13,37.00852693
0,13100,61853,73480,13,0,0,258.9371542,26,28.73085117
0,13100,59460,72387,29,1,2,182.1817822,24,34.78513256
1,13100,54000,74750,14,1,0,92.4,9,34.94237185
0,13100,58039,68558,29,1,2,184.8800106,23,37.34734877
0,13100,44817,59544,11.2,0,0,71.46170475,15,41.60981324
0,13200,155478,183646,5,0,0,196.2413709,55,35.60287536
0,13200,70069,88303,3,0,0,240.8560165,25,29.06412827
0,13200,69195,79252,13,0,0,248.7881304,37,41.90560462
0,13200,58549,81381,13,0,0,94.68710666,24,38.41275614
0,13200,15346,30809,7,0,1,89.65253609,16,18.10528202
1,13200,65372,81426,4,0.2,1,102.6208363,29,38.93416913
1,13200,65997,88000,2,0,0,113.2333333,25,32.25604269
0,13200,93254,125738,3,0,3,156.5454512,25,42.73666557
0,13200,22270,38437,5,0,1,107.7733867,17,20.64319968
0,13200,77241,112904,5,0,0,68.54904501,14,34.53524372
0,13200,81654,114333,5,0,0,97.96296166,13,33.74336765
0,13200,71775,80480,0,0,0,240.6435766,25,29.26799242
0,13200,59422,88308,11.2,0,0,294.7820846,19,29.95255446
0,13200,117985,138969,16,0.2,1,178.0647524,33,29.95423093
1,13300,58000,75000,6.6,0,1,226.2,33,33.64609461
0,13300,96201,124892,3,0,3,178.0344633,26,40.10275183
0,13300,76663,96022,10,2,0,180.0294503,30,27.04500676
0,13300,80059,121790,11.2,0.2,0.5,179.2,21.3,34.5618314
0,13300,61414,72101,12,0,0,260.0716499,27,27.28688203
0,13300,81944,108768,5,0,0,81.10679915,13,33.86964175
